FacilityId,Name
2,Alma Kanreikai
3,Brooklyn Kyokushin Karate
4,Busiken Karate
5,CT Budo Karate
6,Danbury Kanreikai Karate
7,Fighting Spirit Karate
8,Grey Wolf Kyokushin
9,Halifax Kanreikai Karate
10,Japanese Karate
11,Joilette Kanreikei Karate
12,Jonquiere Kanreikai Karate
13,Karaté Kyokushin Québec
14,Karaté Kyokushin St-Luc
15,Karaté Réalité
16,Karate-Do Iwata Dojo
17,Karate-Do Ken Wa Kan
18,Kyokushin Karate
19,Maine Kyokushin Karate
20,Montreal Kanreikai Karate
21,N.A.K.O.
22,Nazuka Dojo
23,New Britian Kyokushin Kan Karate
24,New Canaan Kanreikai Karate
25,New York Kanreikai Karate
26,Performance Fitness
27,Ravena Kanreikai Karate
28,Russo Dojo
29,Saint-Cyr Dojo
30,Saw Creek Kyokushin Karate
31,USA Sieshin Assoc of Kyokushin Karate
32,Vaudreuil Kanreikai Karate
33,Westchester Kyokushin
34,Western Maine Budo Arts
